Rx Bucket	Tier	DrugNameSimple	Drug MOA Description	HRD flag	Drugs In Rx
CDK Inhibitor	1B	abemaciclib	Abemaciclib is an inhibitor of cyclin-dependent kinases 4 and 6 (CDK4 and CDK6). These kinases are activated upon binding to D-cyclins. In estrogen receptor-positive (ER+) breast cancer cell lines, cyclin D1 and CDK4/6 promote phosphorylation of the retinoblastoma protein (Rb), cell cycle progression, and cell proliferation. In vitro, continuous exposure to abemaciclib inhibited Rb phosphorylation and blocked progression from G1 into S phase of the cell cycle, resulting in senescence and apoptosis. In breast cancer xenograft models, abemaciclib dosed daily without interruption as a single agent or in combination with antiestrogens resulted in reduction of tumor size.	0	1
CDK Inhibitor	1B	palbociclib	Palbociclib is an inhibitor of cyclin-dependent kinase (CDK) 4 and 6. Cyclin D1 and CDK4/6 are downstream of signaling pathways which lead to cellular proliferation. In vitro, palbociclib reduced cellular proliferation of estrogen receptor (ER)-positive breast cancer cell lines by blocking progression of the cell from G1 into S phase of the cell cycle. Treatment of breast cancer cell lines with the combination of palbociclib and antiestrogens leads to decreased retinoblastoma protein (Rb) phosphorylation resulting in reduced E2F expression and signaling and increased growth arrest compared to treatment with each drug alone. In vitro treatment of ER-positive breast cancer cell lines with the combination of palbociclib and antiestrogens leads to increased cell senescence, which was sustained for up to 6 days following drug removal. In vivo studies using a patient-derived ER-positive breast cancer xenograft model demonstrated that the combination of palbociclib and letrozole increased the inhibition of Rb phosphorylation, downstream signaling and tumor growth compared to each drug alone.	0	1
EZH2 Inhibitor	1B	tazemetostat	Tazemetostat is an inhibitor of the methyltransferase, EZH2, and some EZH2 gain-of-function mutations including Y646X and A687V. Tazemetostat also inhibited EZH1 with a half-maximal inhibitory concentration (IC50) of 392 nM, approximately 36 times higher than the IC50 for inhibition of EZH2. The most well-characterized function of EZH2 is as the catalytic subunit of the polycomb repressive complex 2 (PRC2), catalyzing mono-, di-, and trimethylation of lysine 27 of histone H3. Trimethylation of histone H3 leads to transcriptional repression. SWItch/Sucrose Non-Fermentable (SWI/SNF) complexes can antagonize PRC2 function in the regulation of the expression of certain genes. Preclinical in vitro and in vivo models with the loss or dysfunction of certain SWI/SNF complex members (e.g., integrase interactor 1 [INI1/SNF5/SMARCB1/BAF47], SMARCA4 and SMARCA2) can lead to aberrant EZH2 activity or expression and a resulting oncogenic dependence on EZH2. 	0	1
FGFR Inhibitor	1B	edrafitinib	Erdafitinib is a kinase inhibitor that binds to and inhibits enzymatic activity of FGFR1, FGFR2, FGFR3 and FGFR4 based on in vitro data. Erdafitinib also binds to RET, CSF1R, PDGFRA, PDGFRB, FLT4, KIT, and VEGFR2. Erdafitinib inhibited FGFR phosphorylation and signaling and decreased cell viability in cell lines expressing FGFR genetic alterations, including point mutations, amplifications, and fusions. Erdafitinib demonstrated antitumor activity in FGFR-expressing cell lines and xenograft models derived from tumor types, including bladder cancer.	0	1
FGFR Inhibitor	1B	infigratinib	Infigratinib is an orally bioavailable pan inhibitor of human fibroblast growth factor receptors (FGFRs) with potential antiangiogenic and antineoplastic activities. Infigratinib selectively binds to and inhibits the activities of FGFRs, which may result in the inhibition of tumor angiogenesis and tumor cell proliferation, and the induction of tumor cell death. FGFRs are a family of receptor tyrosine kinases which may be upregulated in various tumor cell types and may be involved in tumor cell differentiation and proliferation, tumor angiogenesis, and tumor cell survival.	0	1
IDH Inhibitor	1B	enasidenib	Enasidenib is a small molecule inhibitor of the isocitrate dehydrogenase 2 (IDH2) enzyme. Enasidenib targets the mutant IDH2 variants R140Q, R172S, and R172K at approximately 40-fold lower concentrations than the wild-type enzyme in vitro. Inhibition of the mutant IDH2 enzyme by enasidenib led to decreased 2-hydroxyglutarate (2-HG) levels and induced myeloid differentiation in vitro and in vivo in mouse xenograft models of IDH2 mutated AML. In blood samples from patients with AML with mutated IDH2, enasidenib decreased 2-HG levels, reduced blast counts and increased percentages of mature myeloid cells.	0	1
MTOR Inhibitor	1B	everolimus	Everolimus is an inhibitor of mammalian target of rapamycin (mTOR), a serine-threonine kinase, downstream of the PI3K/AKT pathway. The mTOR pathway is dysregulated in several human cancers and in tuberous sclerosis complex (TSC). Everolimus binds to an intracellular protein, FKBP-12, resulting in an inhibitory complex formation with mTOR complex 1 (mTORC1) and thus inhibition of mTOR kinase activity. Everolimus reduced the activity of S6 ribosomal protein kinase (S6K1) and eukaryotic initiation factor 4E-binding protein (4E-BP1), downstream effectors of mTOR, involved in protein synthesis. S6K1 is a substrate of mTORC1 and phosphorylates the activation domain 1 of the estrogen receptor which results in ligand-independent activation of the receptor. In addition, everolimus inhibited the expression of hypoxia-inducible factor (e.g., HIF-1) and reduced the expression of vascular endothelial growth factor (VEGF). Inhibition of mTOR by everolimus has been shown to reduce cell proliferation, angiogenesis, and glucose uptake in in vitro and/or in vivo studies.	0	1
MTOR Inhibitor	1B	temsirolimus	Temsirolimus is an inhibitor of mTOR (mammalian target of rapamycin). Temsirolimus binds to an intracellular protein (FKBP-12), and the protein-drug complex inhibits the activity of mTOR that controls cell division. Inhibition of mTOR activity resulted in a G1 growth arrest in treated tumor cells. When mTOR was inhibited, its ability to phosphorylate p70S6k and S6 ribosomal protein, which are downstream of mTOR in the PI3 kinase/AKT pathway was blocked. In in vitro studies using renal cell carcinoma cell lines, temsirolimus inhibited the activity of mTOR and resulted in reduced levels of the hypoxia-inducible factors HIF-1 and HIF-2 alpha, and the vascular endothelial growth factor.	0	1
PARP Inhibitor	1B	olaparib	Olaparib is an inhibitor of poly (ADP-ribose) polymerase (PARP) enzymes, including PARP1, PARP2, and PARP3. PARP enzymes are involved in normal cellular functions, such as DNA transcription and DNA repair. Olaparib has been shown to inhibit growth of select tumor cell lines in vitro and decrease tumor growth in mouse xenograft models of human cancer, both as monotherapy or following platinumbased chemotherapy. Increased cytotoxicity and anti-tumor activity following treatment with olaparib were noted in cell lines and mouse tumor models with deficiencies in BRCA1/2, ATM, or other genes involved in the homologous recombination repair (HRR) of DNA damage and correlated with platinum response. In vitro studies have shown that olaparib-induced cytotoxicity may involve inhibition of PARP enzymatic activity and increased formation of PARP-DNA complexes, resulting in DNA damage and cancer cell death. 	1	1
PI3K Inhibitor	1B	alpelisib	Alpelisib is an orally bioavailable phosphatidylinositol 3-kinase (PI3K) inhibitor with potential antineoplastic activity. Alpelisib specifically inhibits PI3K in the PI3K/AKT kinase (or protein kinase B) signaling pathway, thereby inhibiting the activation of the PI3K signaling pathway. This may result in inhibition of tumor cell growth and survival in susceptible tumor cell populations. Activation of the PI3K signaling pathway is frequently associated with tumorigenesis. Dysregulated PI3K signaling may contribute to tumor resistance to a variety of antineoplastic agents.	0	1
PI3K Inhibitor	1B	copanlisib	Copanlisib is a phosphoinositide 3-kinase (PI3K) inhibitor with potential antineoplastic activity. Copanlisib inhibits the activation of the PI3K signaling pathway, which may result in inhibition of tumor cell growth and survival in susceptible tumor cell populations. Activation of the PI3K signaling pathway is frequently associated with tumorigenesis and dysregulated PI3K signaling may contribute to tumor resistance to a variety of antineoplastic agents.	0	1
PI3K Inhibitor	1B	dactolisib	Dactolisib is an orally bioavailable imidazoquinoline targeting the phosphatidylinositol 3 kinase (PI3K) and the mammalian target of rapamycin (mTOR), with potential antineoplastic activity. Dactolisib inhibits PI3K kinase and mTOR kinase in the PI3K/AKT/mTOR kinase signaling pathway, which may result in tumor cell apoptosis and growth inhibition in PI3K/mTOR-overexpressing tumor cells. Activation of the PI3K/mTOR pathway promotes cell growth, survival, and resistance to chemotherapy and radiotherapy; mTOR, a serine/threonine kinase downstream of PI3K, may also be activated independent of PI3K.	0	1
