Hugo_Symbol	Rx Bucket	variant_type	variant_effect	variant	association.response_type	evidence_statement	PMID	Comment
GLI1	SHH Inhibitor	expression	activating	over-expression	sensitivity	Dysregulation of the hedgehog signaling pathway plays a major role in the pathogenesis of various hematological malignancies, including multiple myeloma. Pre-clinical studies have shown that hedgehog inhibition reduced the potential of stem cells to initiate leukemia in vivo in mice, and reduced cell proliferation in multiple myeloma cells. Treatment of hematological malignancies via hedgehog inhibition has been evaluated in various clinical studies to date, most of which have been conducted in the context of myelodysplastic disease, myelofibrosis, CML, or AML. GLI1 mRNA expression has been found in pre-treatment samples of AML patients, and expression of GLI1 has been correlated to hedgehog inhibition response via phase I/II studies in solid tumors, as well as in AML.	31125907;32054823;22821765;31036756	
GLI2	SHH Inhibitor	CNA	activating	amplification	resistance	Dysregulation of the hedgehog signaling pathway plays a major role in the pathogenesis of various hematological malignancies, including multiple myeloma. Amplification of downstream HH genes, especially GLI2 as a mechanism of resistance has been reported for vismodegib and sonidegib in cell culture and mouse studies in some solid tumors, as well as in hematological malignancies including multiple myeloma. Amplification of GLI2 via overexpression or copy number amplification has been correlated with tumor growth in a Smo-independent manner.	31576013;22821765;31036756;32371475;31125907	
GLI2	SHH Inhibitor	expression	activating	over-expression	resistance	Dysregulation of the hedgehog signaling pathway plays a major role in the pathogenesis of various hematological malignancies, including multiple myeloma. Amplification of downstream HH genes, especially GLI2 as a mechanism of resistance has been reported for vismodegib and sonidegib in cell culture and mouse studies in some solid tumors, as well as in hematological malignancies including multiple myeloma. Amplification of GLI2 via overexpression or copy number amplification has been correlated with tumor growth in a Smo-independent manner.	31576013;22821765;31036756;32371475;31125907	
PTCH1	SHH Inhibitor	expression	activating	over-expression	sensitivity	Dysregulation of the hedgehog signaling pathway plays a major role in the pathogenesis of various hematological malignancies, including multiple myeloma. Pre-clinical studies have shown that hedgehog inhibition reduced the potential of stem cells to initiate leukemia in vivo in mice, and reduced cell proliferation in multiple myeloma cells. Treatment of hematological malignancies via hedgehog inhibition has been evaluated in various clinical studies to date, most of which have been conducted in the context of myelodysplastic disease, myelofibrosis, CML, or AML. PTCH1 upregulation has been correlated to overall hedgehog activity in myeloma and has been suggested as a potential biomarker for hedgehog inhibitor response through pre-clinical cell culture and mouse experiments, as well as with treatment response in the context of AML	31125907;32054823;22821765	
SMO	SHH Inhibitor	somatic mutation	deactivating	D473H	resistance	Dysregulation of the hedgehog signaling pathway plays a major role in the pathogenesis of various hematological malignancies, including multiple myeloma. Defective SMO via the aquisition of mutations has been reported as a mechanism of resistance to hedgehog inhibition in several solid tumors, with some mechanistic mouse and cell culture experiments suggesting that this mechanism is also potentially relevant in multiple myeloma.	23662017;25008467;31125907;22821765	
BRCA2	PARP Inhibitor	somatic mutation	deactivating		sensitivity	Genomic instability is a hallmark of myeloma that is present both at the early stages and throughout progression of the disease. PARP inhibitors, which act by targeting increased genomic instability, have been FDA-approved for the treatment of BRCA-mutated metastatic breast cancer, as well as ovarian and lung cancer. High-throughput studies have shown that loss of BRCA confers increased sensitivity to PARP inhibitors as tumor cells are unable to deal with the increase in lethal DSBs associated with replication fork collapse. Several preclinical and phase I studies have shown that genomic instability via defective BRCA sensitizes multiple myeloma to PARP inhibition in vitro. The safety and efficacy of syngergistic treatment with proteasome and PARP inhibition has been tested in a phase I clinical studies in myeloma with promising results and is being further evaluated in further studies.	32194286;26719576;32373151;21917757;32826945;29467487;32194286	possible synergistic w/ proteasome?
BRCA2	PARP Inhibitor	CNA	deactivating	deletion	sensitivity	Genomic instability is a hallmark of myeloma that is present both at the early stages and throughout progression of the disease. PARP inhibitors, which act by targeting increased genomic instability, have been FDA-approved for the treatment of BRCA-mutated metastatic breast cancer, as well as ovarian and lung cancer. High-throughput studies have shown that loss of BRCA confers increased sensitivity to PARP inhibitors as tumor cells are unable to deal with the increase in lethal DSBs associated with replication fork collapse. Several preclinical and phase I studies have shown that genomic instability via defective BRCA sensitizes multiple myeloma to PARP inhibition in vitro. The safety and efficacy of syngergistic treatment with proteasome and PARP inhibition has been tested in a phase I clinical studies in myeloma with promising results and is being further evaluated in further studies.	32194286;26719576;32373151;21917757;32826945;29467487;32194286	possible synergistic w/ proteasome?
BRCA1	PARP Inhibitor	somatic mutation	deactivating		sensitivity	Genomic instability is a hallmark of myeloma that is present both at the early stages and throughout progression of the disease. PARP inhibitors, which act by targeting increased genomic instability, have been FDA-approved for the treatment of BRCA-mutated metastatic breast cancer, as well as ovarian and lung cancer. High-throughput studies have shown that loss of BRCA confers increased sensitivity to PARP inhibitors as tumor cells are unable to deal with the increase in lethal DSBs associated with replication fork collapse. Several preclinical and phase I studies have shown that genomic instability via defective BRCA sensitizes multiple myeloma to PARP inhibition in vitro. The safety and efficacy of syngergistic treatment with proteasome and PARP inhibition has been tested in a phase I clinical studies in myeloma with promising results and is being further evaluated in further studies.	32194286;26719576;32373151;21917757;32826945;29467487;32194286	possible synergistic w/ proteasome?
BRCA1	PARP Inhibitor	CNA	deactivating	deletion	sensitivity	Genomic instability is a hallmark of myeloma that is present both at the early stages and throughout progression of the disease. PARP inhibitors, which act by targeting increased genomic instability, have been FDA-approved for the treatment of BRCA-mutated metastatic breast cancer, as well as ovarian and lung cancer. High-throughput studies have shown that loss of BRCA confers increased sensitivity to PARP inhibitors as tumor cells are unable to deal with the increase in lethal DSBs associated with replication fork collapse. Several preclinical and phase I studies have shown that genomic instability via defective BRCA sensitizes multiple myeloma to PARP inhibition in vitro. The safety and efficacy of syngergistic treatment with proteasome and PARP inhibition has been tested in a phase I clinical studies in myeloma with promising results and is being further evaluated in further studies.	32194286;26719576;32373151;21917757;32826945;29467487;32194286	possible synergistic w/ proteasome?
	PARP Inhibitor	GSS	genomic instability	high	sensitivity	Genomic instability is a hallmark of myeloma that is present both at the early stages and throughout progression of the disease. PARP inhibitors, which act by targeting increased genomic instability, have been FDA-approved for the treatment of BRCA1-mutated metastatic breast cancer, as well as ovarian and lung cancer. 	29467487	possible synergistic w/ proteasome?
